"날짜","종가","오픈","고가","저가","변동 %"
"2013년 6월","3.410","3.100","3.690","3.090","10.00%"
"2013년 5월","3.100","2.710","3.120","2.700","11.51%"
"2013년 4월","2.780","2.810","2.980","2.720","-0.71%"
"2013년 3월","2.800","2.940","3.030","2.750","-4.76%"
"2013년 2월","2.940","3.100","3.150","2.930","-5.16%"
"2013년 1월","3.100","3.190","3.210","2.960","-1.59%"
"2012년 12월","3.150","3.040","3.250","3.020","4.30%"
"2012년 11월","3.020","2.960","3.050","2.930","2.03%"
"2012년 10월","2.960","3.010","3.060","2.870","-1.33%"
"2012년 9월","3.000","2.990","3.150","2.970","-0.66%"
"2012년 8월","3.020","3.100","3.240","3.000","-4.13%"
"2012년 7월","3.150","3.590","3.650","3.000","-13.22%"
"2012년 6월","3.630","3.660","3.700","3.480","-1.63%"
"2012년 5월","3.690","3.810","3.820","3.690","-3.15%"
"2012년 4월","3.810","3.970","4.000","3.810","-3.30%"
"2012년 3월","3.940","3.840","4.090","3.840","3.41%"
"2012년 2월","3.810","3.750","3.860","3.740","1.33%"
"2012년 1월","3.760","3.770","3.820","3.750","-0.27%"
"2011년 12월","3.770","3.800","3.900","3.760","0.00%"
"2011년 11월","3.770","3.820","3.850","3.730","-2.33%"
"2011년 10월","3.860","3.960","3.980","3.730","-1.78%"
"2011년 9월","3.930","3.870","3.940","3.530","1.55%"
"2011년 8월","3.870","4.200","4.240","3.810","-7.64%"
"2011년 7월","4.190","4.300","4.380","4.110","-2.78%"
"2011년 6월","4.310","4.240","4.370","4.170","1.89%"
"2011년 5월","4.230","4.470","4.500","4.180","-5.58%"
"2011년 4월","4.480","4.440","4.560","4.400","0.00%"
"2011년 3월","4.480","4.680","4.730","4.200","-4.07%"
"2011년 2월","4.670","4.740","4.880","4.640","-0.85%"
"2011년 1월","4.710","4.500","4.760","4.500","5.37%"
