지 역,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
세종,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181.0818618,170.8361935,168.715571,166.5830437,178.3092573,184.5905662,180.9744507,178.932607,177.8125854,184.2935001,183.5547087,182.7283669,185.5262993,176.9720706,171.5655008,179.5002235,196.3518162,193.2134963,193.9497721,211.8678919,205.4633698,192.6366601,193.8176102,191.6627016,201.4082537,190.1616316,202.3852266,232.4255698,204.6081186,225.7069589,214.1590873,203.9053384,227.7824985,243.6495942,237.8020828,236.9733832,235.88496,215.9740843,243.5355488,233.6344691,254.3278731,241.3273781,230.0273926,223.6234857,248.4972458,271.9259382,265.7732678,253.7883718,248.0286959,287.1172156,314.7276312,306.073055,321.3663767,339.3858936,343.0556216,315.2648725,313.80073,309.0434309,315.9720247,342.5395211,367.9901247,383.4759837,391.3682019,339.6552299,337.333373,347.8719254,330.3351179,343.8289551,345.2855223,396.7936535,391.8605316,388.7589035,393.0510565,386.8732356,397.859863,378.1496115,404.2156641,386.7739928,405.4978519,395.0665429,380.3428559,369.5929749,361.8278742,387.26753,386.4922531,418.4426387,428.6972067,414.1431535,434.2959577,456.6139548,482.8515942,516.0736579,481.6862901,522.5855287,460.800463,425.4211375,477.582519,574.2566229,654.0486095,663.2272266,578.2526453,572.2883828,615.2358252,630.2591607,613.4536143
경기,335.8194592,325.0197611,312.4477171,309.0004031,313.4043639,315.2043874,319.0573717,318.4187512,315.7211839,316.6143894,316.4215365,318.0923858,316.9427234,310.9250967,305.9857521,304.8719482,308.6311583,300.3669428,295.0050655,292.6708415,304.8372744,313.06065,309.8862792,310.4113921,308.4552973,310.2210119,315.0899389,321.7876099,314.6795235,312.079193,309.6442387,323.7168579,332.2314035,330.036822,330.6403135,340.1327316,343.1161239,338.3219914,327.9750406,325.2291128,327.0021019,333.0953309,339.4917575,345.0301284,345.0363533,340.847628,344.1575874,350.9062069,350.6020295,353.4192291,352.4868008,353.2987797,354.8330987,358.5988632,364.4665047,358.3252493,370.2286027,372.1074217,372.6121042,357.8122147,357.4169045,362.308608,364.6317591,376.9989693,382.4199923,394.2361626,394.1390972,395.3919615,404.3989205,406.6362524,392.782994,385.668478,391.6202382,392.9294057,394.0630014,409.4365395,431.151079,427.1220914,442.6030818,412.2274007,424.308735,427.7223299,434.3335005,466.6457459,488.226187,460.3646374,430.1721153,411.5475836,413.7970016,423.5285656,443.8248367,510.6699312,454.3190223,412.4069601,399.2235664,395.3462753,381.2814794,376.2897159,378.2017742,394.803573,425.7119358,474.4139025,492.7927412,469.8798945,477.894867,505.7114579,523.4609694,499.9826376,476.2377903,466.6262176,426.4993883,413.9511846,453.0241685,525.8669507,540.1649694,518.1188576,508.469702,513.7778615,567.9714784,577.6780302,562.6115476
강원,144.1469394,138.7939185,135.7432063,138.2116716,138.7693125,138.9444183,146.3651493,150.1733566,152.6609227,147.1256473,149.7562894,147.7502936,152.1053374,153.7120506,148.8079625,148.960735,152.3074629,152.2498512,146.7253908,148.5922426,151.9748593,151.7306091,150.7632661,150.0033422,151.7703397,153.2877199,155.2116785,153.7511735,155.2949636,153.1832931,156.480006,158.0827435,162.1623473,163.9416775,161.9315336,162.0856494,164.747439,164.2737429,157.3210385,157.5108022,158.4184219,158.6934059,158.7979237,162.3363359,160.0131105,161.9821466,163.2239401,159.0927678,172.1144052,166.0000616,172.6198498,170.6748437,172.0390759,169.4867509,172.6786892,177.4445337,180.1508422,179.7693935,184.611129,181.8572454,188.3464565,187.396667,189.9975251,192.6087563,189.0639913,194.5303132,198.9594496,197.7798834,201.5330804,200.3669735,199.7476066,197.5502821,207.2182491,204.7785104,204.335289,200.7357717,203.7715317,207.3567444,206.1024817,203.8514494,210.2337126,205.5058766,201.3113382,208.0959519,208.482159,206.169995,203.5201716,200.6608002,201.0833816,198.9438753,196.4120616,198.3974401,204.1550868,199.1376254,193.6460395,195.1087991,191.8325121,190.5901663,189.6962939,193.6527607,190.6743252,193.6732723,189.7651536,192.3753896,194.1144713,197.7172062,200.1107292,205.714118,204.2285428,201.8381228,200.3695807,200.8699287,206.0250915,225.8608756,216.4614896,213.9779567,213.4381383,218.4932339,223.0252589,239.0915237,238.4472127
충북,165.5131207,156.0464908,157.1399352,158.9064775,164.7751967,169.5048616,169.761931,173.0719715,172.8810078,177.8464305,176.6667267,177.8894023,184.9247602,181.9299534,178.7692004,180.6182923,187.5622463,183.7095846,183.1815037,180.4530044,189.2513853,189.3427097,188.2679715,186.4743347,197.1696123,190.369038,191.886385,194.2136378,195.7276519,186.6861977,197.5053289,197.3607974,202.7794444,201.3922919,201.981394,202.1727962,205.7594301,204.0049839,207.2780317,202.2726228,209.1870951,206.5688054,210.1467721,212.8065751,212.3056133,219.236998,217.7326178,214.5015291,211.4816535,214.9915726,214.410204,208.7601733,214.3472317,212.2628287,205.8736343,207.447319,210.1517389,210.8320211,207.7296778,197.4820428,203.2321106,201.4290932,202.4036146,205.6510999,203.163465,201.7299949,205.3518675,206.2711304,204.4188371,214.2985717,204.3626269,207.6973835,215.8645389,206.1069668,207.1288396,206.3361368,207.1949402,210.1932886,207.8519695,211.1451751,209.8307723,204.1740814,208.5489295,210.8537964,209.322235,209.864052,202.5227751,200.5838184,196.9916089,197.3903478,196.861082,196.673775,204.2879182,203.9243655,199.8556257,193.3144637,197.9784222,198.0587808,190.9972239,193.3104166,191.8253174,194.2698112,195.0252554,202.8301984,208.1150202,227.5112251,244.9747696,233.3140751,220.9299276,219.0789474,211.7736636,220.1265516,256.7182927,234.3787997,205.6564386,208.6593681,217.5770092,229.1457053,264.1015376,250.404453,250.2707634
충남,170.5512935,162.2189786,163.014857,160.8969459,163.7589875,167.5557079,173.6493595,173.0489587,176.5643806,178.3074457,182.5557007,177.7330385,190.7787608,188.7364925,185.1126752,186.8280377,187.2088155,186.2899203,188.2332533,188.3920638,191.8543097,194.5471553,196.2715025,189.9663461,198.9652391,195.2826176,195.460408,198.5868754,200.3156542,196.647284,202.3341799,206.03832,210.0846785,211.0563939,219.3991628,211.9071319,213.3006955,213.428422,209.820409,207.08216,210.5295588,212.5361301,216.2487814,214.600195,217.7818646,215.9695627,213.2411767,212.4354264,212.5194447,218.4412877,214.2301553,215.4614636,219.2585199,214.0955618,217.4669928,212.3131569,212.6058574,214.0700388,214.7778737,210.0789105,209.8637186,208.9976909,204.0466507,203.7884016,201.5271701,205.8198103,204.1682826,207.4274328,208.0611172,208.6167289,213.1964801,208.5766376,220.4514504,210.8850574,204.8693351,205.2300335,205.7872794,209.9403375,210.7503062,211.2203132,216.7317796,216.4675915,215.1592598,215.3971169,212.7605571,216.7876185,209.4209014,206.4549588,206.2876977,207.0110218,206.7168335,209.8913822,218.0099971,227.5731657,232.3006708,218.8297791,218.5711605,217.3616065,220.4964038,212.6207356,220.0386324,225.764385,230.1192109,237.937541,246.4233951,248.9234485,280.8222745,268.5851933,248.4273989,232.9601653,223.7029445,222.0175629,236.3919628,282.76343,264.167283,248.3541557,266.3519703,259.1943116,293.1826926,292.1619183,246.2006778
전북,162.8989062,157.3312127,156.5648451,157.0950847,163.5219258,160.4637878,164.1319762,166.8608072,166.416093,174.2744576,175.7272646,167.4864234,176.0005187,171.5585858,165.5566704,165.3204258,167.3721543,165.9768229,161.0986867,164.5047879,167.786474,169.7079236,170.7457588,164.5579272,175.1648411,172.3761955,171.619981,171.589326,171.6536526,169.8563591,172.2475113,171.8823131,175.808219,178.862354,177.8300822,174.1581535,181.9410303,175.5277788,172.7807619,172.5841057,170.0318684,173.327145,172.2759251,177.5502092,175.1474515,180.0521503,181.3034288,185.6888022,182.4919757,181.9120271,178.690754,179.9860171,179.9836453,180.1043121,179.1882789,178.8494999,182.0459748,185.6358899,184.3489397,185.2167,185.570842,184.6672456,182.7310859,182.270267,182.0211575,189.5103182,185.3407458,191.422726,190.3197447,196.2069392,194.4613962,193.8090946,201.6408566,200.776474,191.5194869,189.8480973,190.9986014,189.6293117,189.8365079,193.2238697,200.0613718,201.9218766,199.1250933,203.516399,200.5046295,197.8503895,197.7602264,192.7211552,189.7094956,198.0963293,186.2632357,196.6249679,201.8671031,197.0759649,199.2170398,200.2556343,194.7223904,191.1579473,186.9253584,188.3667428,189.652898,191.7234213,198.0931786,195.7903394,198.9423879,197.3574968,217.2083318,231.1058275,219.5368423,222.1095864,201.7881922,196.1708668,210.2567194,233.5606239,215.3026969,208.991952,214.1907382,231.8565212,239.5103594,223.8799829,198.5839068
전남,132.6755612,132.1782907,130.2108265,130.4310102,127.2930151,136.5411762,139.9980831,139.6818044,142.4414183,141.6505303,140.242824,138.7372503,146.2128798,143.6625764,142.9873761,140.8460326,138.8989767,141.3755524,142.6318798,143.8240932,147.276509,146.5370623,147.8982908,138.2980938,149.8408697,145.9943415,146.6423675,149.5877866,150.3468462,146.3148437,145.5429216,146.6366971,150.7921574,151.413877,149.9762676,148.2757393,148.5424572,151.5458472,148.2491651,149.3849752,150.6960206,153.2594692,149.9276824,151.9064853,150.9275547,153.8623143,156.7722959,154.0134786,158.8056976,159.0023377,156.3179547,157.5018496,159.611429,155.3250683,157.6883609,156.9837802,161.0928938,164.5743429,163.7152242,167.6388559,167.4416655,166.7433416,162.6714236,164.160797,161.7286097,163.3122648,171.4746339,172.0424178,171.5721512,177.1163134,177.5321238,175.3739864,175.2665554,179.0482175,181.7492381,181.4266356,185.4731325,187.236356,189.2708628,185.4030873,186.7762759,193.0641637,189.2894424,192.5291473,193.8858962,192.15006,191.3951362,180.5831534,189.7484807,189.2273101,190.1690266,197.1930243,204.808355,199.8969735,202.9100367,198.9490566,203.8656694,202.9589404,194.4671981,198.5952908,201.4030213,194.4049828,200.2655929,199.9066462,198.4934484,203.7969763,208.8780808,211.9764343,217.0289983,217.5055851,212.3821567,208.1763761,221.9915311,227.7154995,224.9783065,222.3014113,222.9122947,216.6620525,223.8366657,232.1238437,213.8280197
경북,131.9893701,129.0711785,128.2606323,128.439735,130.0178768,134.8809507,136.6585941,134.2000325,138.2063866,141.1344382,143.1126493,143.6079341,146.7725473,144.4675215,141.952447,143.3597886,142.7727552,148.0059837,148.1206682,150.095147,154.7814584,155.3092895,156.0216207,155.0620114,160.3367763,160.2150004,159.8857151,163.634146,166.6339171,163.1080487,165.4496863,169.7473263,172.039413,175.2487938,176.2224113,175.0473616,175.3340699,176.1904044,175.8232564,179.709737,179.0682462,179.1085445,179.8987083,186.2736145,188.0051849,188.0868281,188.5199328,193.1389019,192.3345768,194.0859727,194.6061329,195.384871,193.8201376,195.4624131,195.3386594,195.6721108,195.7841148,191.4474309,190.0334548,186.0861123,182.7673144,179.8474352,180.8442683,181.1637774,178.4927131,181.3035153,186.8026595,186.9625925,188.6525785,195.6465864,194.322113,189.6790958,191.0586641,191.5543207,187.4698945,184.8450539,185.0235963,188.9596202,196.9376169,200.6552007,196.163377,191.4397914,192.5746698,194.5693223,188.1483097,191.5889722,189.2187244,183.0130251,180.2035873,188.143353,182.9379037,185.9933496,189.2342529,181.0368297,180.2764944,180.7288362,177.1506845,169.4417701,177.5779088,172.079889,175.9911713,180.1881061,187.9519374,188.8603037,194.6240954,199.9200027,205.221519,201.9277645,204.2982277,203.5526999,185.8913068,186.3703764,208.6675182,223.7666388,206.9791184,199.9029635,205.4156824,214.6880937,253.801604,227.1447088,212.8823454
경남,216.1691678,215.5979752,222.627387,223.5457891,218.0125388,220.5670773,225.3937475,231.5852868,226.4421931,230.350417,227.0029639,216.7987836,232.0220261,226.2841463,228.2489046,223.9553661,225.7868325,212.0180327,211.5975945,218.4367602,222.7686181,226.439163,220.8104095,219.6511823,227.1290533,224.6380033,228.2343676,235.6479555,231.1733073,224.4517548,224.2692752,233.8817284,242.3970867,243.751748,238.6010009,243.0994052,238.7116476,244.1709861,246.7616283,243.2630708,243.2786948,247.4356375,251.2298964,249.3204559,255.7247147,252.3779288,252.8068043,246.2281169,251.1711903,249.8165875,246.7088289,249.3820111,252.5697558,253.7041541,252.3827528,249.83947,254.6957366,259.5982904,253.6849347,244.6736755,240.6998788,244.6539327,240.7548575,243.1248412,240.7284541,242.8102106,249.205664,250.7552119,257.8259278,260.3272457,257.6909657,251.8537303,251.7829658,247.8654248,247.7218107,245.5972942,246.9067752,248.3668637,247.6436991,251.3692797,250.80761,250.0719555,247.3054325,245.1955256,244.963887,245.4468506,242.031858,236.4395243,238.833447,229.3261819,228.9750224,235.0633018,247.6522475,246.2072062,236.6942835,236.0288053,234.4025946,234.8683817,235.6064873,230.5370485,239.9474343,240.2128385,247.5672905,250.0892533,247.4739457,277.4543013,287.3357389,266.8450681,269.8159415,261.2434594,245.4988739,242.2908122,262.1280666,319.1261845,290.8215257,264.8550895,288.1205272,313.181461,312.2555848,275.0402313,257.5767782
제주,168.8386832,160.0761497,178.5357258,188.7925006,181.9124462,187.593278,182.8262361,196.5961558,193.6399019,191.3656126,193.9355099,187.3913719,200.9920078,186.3446729,201.1991736,189.1003719,203.2550805,201.9692459,191.9782703,197.1925989,200.0196277,209.3014087,208.3888134,182.9298369,194.4480689,192.6711446,192.5878864,198.2045818,219.8038979,217.6312835,214.0225974,204.2946304,220.5548667,225.6025473,223.2724746,223.4118246,222.2030429,223.4409086,224.1833468,217.8698951,228.4143201,239.2617631,232.056805,236.801582,235.4800394,252.1163348,242.9843414,241.6602079,250.2950552,250.20728,250.1126488,271.3200296,273.5222412,283.2325376,304.0900027,319.8052637,319.6898313,355.6075752,343.6633749,348.4228208,354.4286588,347.7214037,351.6794745,356.979297,352.9882094,349.6250634,374.5412944,396.2837655,375.2105359,393.5240502,373.3251362,397.8816251,389.2705556,391.861976,379.4761964,371.6908959,402.4333573,401.7260145,393.7451996,365.2431366,395.2253644,390.6395155,393.9400062,401.4193356,376.7922269,398.1828161,380.9053145,356.4925474,374.1309095,384.5144426,391.2574364,419.4114573,420.4969148,388.071287,389.7742298,372.0773462,355.1096736,367.4717191,347.6061379,367.5186695,381.78819,408.5311441,411.46415,381.4676448,385.2981343,373.2825044,414.100282,380.2333291,384.330893,391.6328431,369.987555,368.9200171,393.7659477,414.7797908,413.5411136,389.8780602,396.5313033,422.1826038,420.0428095,401.9659536,393.1057088
