날짜,시가*,고가,저가,종가**,거래량,시가총액
10-Feb-21,?56.93,?58.84,?55.03,?58.06,"?3,870,413,375","?10,698,297,659"
09-Feb-21,?54.79,?57.24,?53.96,?57.02,"?3,683,774,415","?10,506,735,464"
08-Feb-21,?54.74,?55.35,?53.03,?54.64,"?1,848,181,930","?10,067,927,052"
07-Feb-21,?55.85,?55.85,?53.03,?54.74,"?1,378,241,761","?10,088,052,400"
06-Feb-21,?58.06,?58.06,?54.26,?55.77,"?1,991,842,071","?10,276,146,282"
05-Feb-21,?55.68,?58.12,?54.41,?58.06,"?5,466,616,897","?10,698,468,038"
04-Feb-21,?53.62,?60.53,?50.88,?55.68,"?10,845,022,360","?10,260,812,136"
03-Feb-21,?51.35,?54.09,?51.06,?53.62,"?2,209,028,218","?9,881,303,967"
02-Feb-21,?50.70,?51.71,?49.97,?51.35,"?1,303,597,491","?9,462,217,382"
01-Feb-21,?51.82,?53.72,?48.68,?50.76,"?2,264,558,515","?9,353,163,806"
31-Jan-21,?50.99,?54.78,?50.21,?51.80,"?29,776,602,384","?9,545,852,911"
30-Jan-21,?52.86,?52.95,?49.77,?50.99,"?26,599,592,350","?9,395,364,326"
29-Jan-21,?53.47,?54.55,?51.27,?52.86,"?27,456,452,745","?9,740,938,162"
28-Jan-21,?51.50,?54.33,?49.94,?53.47,"?26,929,916,205","?9,853,347,335"
27-Jan-21,?54.30,?55.20,?50.08,?51.50,"?13,426,275,813","?9,490,518,936"
26-Jan-21,?54.59,?55.12,?53.11,?54.30,"?750,513,433","?10,006,114,137"
25-Jan-21,?55.22,?55.75,?54.29,?54.85,"?52,736,789,874","?10,107,959,737"
24-Jan-21,?56.00,?56.45,?54.41,?55.22,"?27,362,347,525","?10,175,154,899"
23-Jan-21,?51.70,?56.83,?49.97,?55.96,"?28,925,939,090","?10,312,516,503"
22-Jan-21,?48.43,?58.45,?48.17,?51.59,"?341,456","?9,507,587,840"
21-Jan-21,?53.87,?57.32,?47.37,?48.49,"?178,878","?8,935,476,539"
20-Jan-21,?53.31,?60.79,?52.09,?53.97,"?57,503","?9,945,283,509"
19-Jan-21,?60.33,?61.46,?53.42,?53.42,"?143,680","?9,843,362,684"
18-Jan-21,?56.44,?60.63,?48.03,?59.34,"?3,672,791,452","?10,934,539,361"
17-Jan-21,?50.68,?60.24,?49.05,?56.35,"?7,342,987,327","?10,384,359,639"
16-Jan-21,?49.47,?57.91,?47.78,?50.69,"?427,332","?9,340,778,755"
15-Jan-21,?54.64,?57.20,?48.22,?49.35,"?786,689","?9,094,380,751"
14-Jan-21,?53.26,?56.13,?47.42,?54.64,"?39,505,099,664","?10,069,213,448"
13-Jan-21,?48.38,?54.28,?44.65,?53.26,"?603,252,199","?9,814,329,359"
12-Jan-21,?50.25,?52.19,?48.32,?48.32,"?146,218","?8,905,068,624"
11-Jan-21,?55.65,?55.74,?41.53,?50.25,"?53,903,456,718","?9,259,336,538"
10-Jan-21,?58.65,?59.10,?53.01,?55.67,"?4,218,155,524","?10,258,103,196"
09-Jan-21,?56.90,?59.31,?54.86,?58.20,"?7,615,202,341","?10,725,267,473"
08-Jan-21,?58.96,?60.70,?53.10,?56.81,"?5,239,467,361","?10,468,040,229"
07-Jan-21,?62.37,?62.37,?57.82,?58.96,"?11,368,107,844","?10,864,792,324"
06-Jan-21,?48.44,?69.57,?48.08,?62.18,"?72,463,997,073","?11,458,606,915"
05-Jan-21,?48.80,?53.27,?46.80,?48.44,"?79,806","?8,926,431,160"
04-Jan-21,?55.54,?57.84,?47.64,?48.80,"?455,005","?8,992,465,826"
03-Jan-21,?63.19,?65.15,?52.76,?54.98,"?511,212,251,050","?10,130,785,760"
02-Jan-21,?60.77,?68.13,?56.33,?58.67,"?63,801,903","?10,811,126,952"
01-Jan-21,?57.16,?66.57,?54.10,?60.77,"?2,605,370","?11,198,721,785"
31-Dec-20,?53.41,?59.42,?52.12,?57.16,"?35,730,766,270","?10,532,297,282"
30-Dec-20,?48.02,?56.47,?48.02,?53.26,"?1,334,340,123","?9,815,268,111"
29-Dec-20,?48.55,?49.83,?45.71,?48.02,"?1,505,809,724","?8,849,579,589"
28-Dec-20,?46.69,?57.15,?46.69,?49.90,"?8,717,765,491","?9,195,704,263"
27-Dec-20,?46.17,?51.98,?44.28,?46.69,"?4,437,801,282","?8,603,369,931"
26-Dec-20,?48.36,?48.41,?44.06,?45.93,"?499,069,738","?8,464,185,280"
25-Dec-20,?44.63,?51.02,?44.26,?48.28,"?1,047,083,455","?8,897,089,474"
24-Dec-20,?44.60,?46.45,?42.10,?44.62,"?100,847","?8,222,464,123"
23-Dec-20,?55.57,?56.67,?41.89,?44.98,"?2,935,909,797","?8,288,900,945"
22-Dec-20,?54.98,?58.72,?52.94,?55.46,"?5,778,959,372","?10,220,730,157"
21-Dec-20,?58.60,?58.79,?52.49,?54.98,"?5,223,746,722","?10,131,245,064"
20-Dec-20,?58.42,?60.18,?57.74,?58.26,"?380,683,092","?10,736,009,357"
19-Dec-20,?58.61,?60.01,?57.47,?58.42,"?2,389,222,870","?10,764,830,408"
18-Dec-20,?60.30,?61.83,?57.36,?59.04,"?2,476,379,997","?10,879,350,100"
17-Dec-20,?61.65,?62.00,?59.22,?60.64,"?2,945,864,800","?11,173,543,204"
16-Dec-20,?61.27,?68.34,?60.38,?61.57,"?15,727,183,632","?11,345,651,966"
15-Dec-20,?63.15,?63.15,?60.11,?61.32,"?2,898,016,256","?11,298,845,706"
14-Dec-20,?59.91,?66.58,?58.94,?63.15,"?9,218,990,065","?11,637,375,648"
13-Dec-20,?61.51,?61.51,?58.70,?59.91,"?2,737,614,045","?11,039,151,415"
12-Dec-20,?60.96,?62.99,?58.22,?61.60,"?4,390,115,276","?11,351,215,175"
11-Dec-20,?72.63,?72.72,?60.55,?61.51,"?6,565,469,687","?11,335,162,285"
10-Dec-20,?70.54,?78.50,?69.39,?72.35,"?14,581,744,878","?13,332,119,825"
09-Dec-20,?71.81,?77.88,?60.97,?70.51,"?3,710,540,560","?12,994,145,055"
08-Dec-20,?82.70,?125.41,?68.29,?71.40,"?17,113,079,163","?13,156,953,658"
07-Dec-20,?79.16,?88.11,?75.94,?82.98,"?4,179,992,889","?15,291,338,114"
06-Dec-20,?68.97,?79.38,?68.04,?79.16,"?1,376,104,099","?14,587,657,560"
05-Dec-20,?68.69,?70.37,?67.25,?69.04,"?895,416,835","?12,721,718,579"
04-Dec-20,?68.44,?75.06,?64.70,?68.85,"?5,438,096,022","?12,687,817,538"
03-Dec-20,?61.83,?69.14,?61.46,?68.53,"?1,445,498,208","?12,629,121,077"
02-Dec-20,?57.63,?69.55,?56.49,?62.55,"?4,332,464,950","?11,527,305,606"
01-Dec-20,?56.64,?58.58,?54.02,?57.38,"?1,048,950,917","?10,573,477,959"
30-Nov-20,?55.93,?58.71,?55.52,?56.64,"?968,385,711","?10,437,826,605"
29-Nov-20,?57.34,?57.50,?54.19,?55.93,"?723,245,909","?10,306,362,190"
28-Nov-20,?55.17,?61.63,?53.60,?57.71,"?1,914,801,271","?10,634,381,022"
27-Nov-20,?54.89,?79.59,?51.68,?55.22,"?7,141,624,082","?10,174,972,127"
26-Nov-20,?56.80,?60.30,?47.93,?54.89,"?1,279,570,844","?10,114,028,456"
25-Nov-20,?53.24,?87.99,?52.90,?56.68,"?18,881,534,144","?10,445,248,828"
24-Nov-20,?50.04,?53.20,?48.24,?52.88,"?2,545,328,303","?9,745,336,893"
23-Nov-20,?47.84,?54.47,?47.08,?50.23,"?1,799,933,667","?9,256,971,069"
22-Nov-20,?49.92,?50.24,?46.98,?47.84,"?223,961,941","?8,814,825,472"
21-Nov-20,?52.42,?53.04,?48.73,?49.92,"?295,267,918","?9,199,526,450"
20-Nov-20,?50.68,?53.60,?50.24,?52.42,"?261,234,501","?9,660,283,391"
19-Nov-20,?50.37,?52.66,?49.52,?50.68,"?349,050,821","?9,339,591,590"
18-Nov-20,?54.00,?56.02,?50.33,?50.37,"?1,811,643,114","?9,281,172,949"
17-Nov-20,?47.88,?62.07,?46.69,?54.00,"?3,772,823,810","?9,950,112,604"
16-Nov-20,?47.56,?48.37,?46.42,?47.78,"?283,052,590","?8,805,366,514"
15-Nov-20,?49.81,?49.81,?47.41,?47.56,"?259,778,938","?8,764,763,645"
14-Nov-20,?48.82,?50.18,?47.76,?49.81,"?245,021,819","?9,178,463,579"
13-Nov-20,?48.70,?50.94,?47.36,?48.82,"?299,748,303","?8,997,174,675"
12-Nov-20,?51.92,?52.34,?47.01,?48.69,"?416,359,070","?8,972,178,036"
11-Nov-20,?56.31,?57.37,?50.01,?51.92,"?403,313,805","?9,568,154,827"
10-Nov-20,?54.54,?56.72,?51.91,?56.31,"?685,699,890","?10,376,468,324"
09-Nov-20,?55.66,?56.25,?52.51,?54.54,"?1,577,330,165","?10,051,276,315"
08-Nov-20,?55.28,?57.56,?54.46,?55.66,"?395,049,667","?10,257,331,016"
07-Nov-20,?55.32,?58.40,?54.40,?55.28,"?562,502,514","?10,186,728,838"
06-Nov-20,?49.09,?55.48,?49.04,?55.32,"?627,170,293","?10,194,671,768"
05-Nov-20,?47.05,?53.62,?47.03,?49.09,"?1,137,913,309","?9,045,531,627"
04-Nov-20,?46.98,?47.74,?45.41,?47.05,"?445,736,805","?8,670,707,593"
03-Nov-20,?45.36,?48.54,?44.12,?46.97,"?475,210,200","?8,655,882,410"
02-Nov-20,?48.77,?49.03,?43.91,?45.36,"?1,624,924,784","?8,358,705,037"
01-Nov-20,?51.97,?51.97,?48.73,?48.77,"?270,754,114","?8,986,377,325"
31-Oct-20,?52.32,?55.29,?50.65,?51.97,"?327,433,190","?9,576,538,761"
