날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 01월 15일,20.8,17.97,21.37,17.57,57.62M,15.73%
2021년 01월 14일,17.97,15.93,17.97,15.38,19.34M,12.77%
2021년 01월 13일,15.93,13.97,16.22,13.41,16.28M,14.03%
2021년 01월 12일,13.97,14.64,15.47,13.71,16.87M,-4.63%
2021년 01월 11일,14.65,16.21,16.25,12.54,33.27M,-9.62%
2021년 01월 10일,16.21,17.56,18.42,15.52,22.63M,-7.64%
2021년 01월 09일,17.55,15.24,17.86,15.02,17.48M,15.18%
2021년 01월 08일,15.24,15.99,16.18,14.22,21.67M,-4.70%
2021년 01월 07일,15.99,17.25,17.38,15.14,24.81M,-7.30%
2021년 01월 06일,17.25,14.51,17.27,14.15,29.92M,18.91%
2021년 01월 05일,14.51,13.6,14.87,13.12,20.19M,6.55%
2021년 01월 04일,13.62,13.7,15.58,12.41,32.77M,-0.62%
2021년 01월 03일,13.7,12.21,13.99,11.84,21.83M,12.17%
2021년 01월 02일,12.21,11.84,12.38,11.46,13.09M,3.13%
2021년 01월 01일,11.84,11.23,12.42,11.07,11.93M,5.44%
2020년 12월 31일,11.23,11.25,11.75,10.97,9.28M,-0.14%
2020년 12월 30일,11.25,11.76,11.98,11.08,13.14M,-4.38%
2020년 12월 29일,11.76,12.61,13.02,10.82,23.18M,-6.81%
2020년 12월 28일,12.62,12.14,12.94,12.01,16.32M,3.96%
2020년 12월 27일,12.14,10.97,13.2,10.51,28.71M,10.64%
2020년 12월 26일,10.97,11.56,11.8,10.63,13.63M,-5.05%
2020년 12월 25일,11.56,11.58,11.9,11.07,12.76M,-0.22%
2020년 12월 24일,11.58,10.97,11.68,9.91,22.95M,5.48%
2020년 12월 23일,10.98,12.79,12.86,8.21,23.28M,-14.15%
2020년 12월 22일,12.79,12.3,12.83,11.84,9.36M,3.97%
2020년 12월 21일,12.3,13.06,13.26,12.17,10.77M,-5.87%
2020년 12월 20일,13.07,13.47,13.78,12.74,8.08M,-2.99%
2020년 12월 19일,13.47,13.5,13.96,13.31,6.81M,-0.19%
2020년 12월 18일,13.5,13.46,14,13.2,8.60M,0.19%
2020년 12월 17일,13.47,13.49,14.5,13.17,18.56M,-0.11%
2020년 12월 16일,13.49,12.68,13.49,12.33,10.43M,6.37%
2020년 12월 15일,12.68,12.84,13.01,12.48,4.85M,-1.21%
2020년 12월 14일,12.84,12.94,12.98,12.34,6.76M,-0.83%
2020년 12월 13일,12.94,12.22,13.22,12.03,9.18M,5.93%
2020년 12월 12일,12.22,11.64,12.34,11.62,6.53M,5.01%
2020년 12월 11일,11.64,11.89,11.98,11.43,7.91M,-2.17%
2020년 12월 10일,11.89,12.62,12.67,11.87,5.29M,-5.73%
2020년 12월 09일,12.62,12.14,12.81,11.6,11.04M,3.96%
2020년 12월 08일,12.14,13.07,13.19,12,7.89M,-7.13%
2020년 12월 07일,13.07,13.5,13.55,12.89,4.64M,-3.20%
2020년 12월 06일,13.5,13.17,13.52,12.78,5.64M,2.49%
2020년 12월 05일,13.17,12.68,13.33,12.53,5.29M,3.88%
2020년 12월 04일,12.68,13.97,14.03,12.52,8.97M,-9.24%
2020년 12월 03일,13.97,13.98,14.2,13.65,6.56M,-0.16%
2020년 12월 02일,13.99,13.34,14.13,13.1,9.15M,4.92%
2020년 12월 01일,13.34,14.26,14.82,13.2,16.77M,-6.44%
2020년 11월 30일,14.26,13.37,14.43,13.37,15.66M,6.64%
2020년 11월 29일,13.37,13.09,13.47,12.86,9.09M,2.14%
2020년 11월 28일,13.09,12.49,13.42,12.36,11.61M,4.80%
2020년 11월 27일,12.49,12.58,12.94,11.97,13.79M,-0.71%
2020년 11월 26일,12.58,14.23,14.46,11.32,39.12M,-11.67%
2020년 11월 25일,14.24,15.65,15.83,13.82,14.38M,-9.00%
2020년 11월 24일,15.65,15.27,16.36,15.07,24.19M,2.49%
2020년 11월 23일,15.27,14.5,15.41,14.27,18.54M,5.25%
2020년 11월 22일,14.5,15.45,15.69,13.89,20.92M,-6.14%
2020년 11월 21일,15.45,14.1,15.47,13.72,21.09M,9.62%
2020년 11월 20일,14.1,13.62,14.47,13.48,16.54M,3.50%
2020년 11월 19일,13.62,13.56,13.99,13.03,14.71M,0.46%
2020년 11월 18일,13.56,13.37,14.23,12.65,28.82M,1.40%
2020년 11월 17일,13.37,12.62,13.4,12.56,17.11M,5.92%
2020년 11월 16일,12.62,12.12,12.8,12.01,10.38M,4.06%
2020년 11월 15일,12.13,12.54,12.64,11.83,8.80M,-3.32%
2020년 11월 14일,12.54,12.87,12.92,12.35,8.63M,-2.54%
2020년 11월 13일,12.87,12.41,13,12.32,13.02M,3.70%
2020년 11월 12일,12.41,12.78,13.09,12.29,14.11M,-2.85%
2020년 11월 11일,12.78,13.02,13.41,12.78,15.02M,-1.85%
2020년 11월 10일,13.02,12.5,13.27,12.32,20.01M,4.19%
2020년 11월 09일,12.49,12.72,13,12.07,19.77M,-1.77%
2020년 11월 08일,12.72,11.76,13.08,11.5,19.51M,8.20%
2020년 11월 07일,11.75,12.17,13.57,11.5,38.53M,-3.38%
2020년 11월 06일,12.17,10.98,12.27,10.95,18.15M,10.78%
2020년 11월 05일,10.98,10.46,11.23,10.09,17.25M,4.96%
2020년 11월 04일,10.46,10.39,10.65,9.78,14.28M,0.75%
2020년 11월 03일,10.39,10.79,10.79,10.09,15.66M,-3.75%
2020년 11월 02일,10.79,11.55,11.67,10.72,16.66M,-6.58%
2020년 11월 01일,11.55,11.23,11.58,11.03,16.91M,2.81%
2020년 10월 31일,11.23,11.09,11.39,10.93,20.13M,1.32%
2020년 10월 30일,11.09,11.28,11.48,10.78,23.11M,-1.72%
2020년 10월 29일,11.28,11.45,11.79,11.11,18.42M,-1.50%
2020년 10월 28일,11.45,11.94,12.15,11.16,12.86M,-4.04%
2020년 10월 27일,11.94,11.72,12.45,11.5,12.03M,1.80%
2020년 10월 26일,11.73,12.15,12.44,11.3,14.13M,-3.47%
2020년 10월 25일,12.15,12.7,12.84,11.94,11.56M,-4.35%
2020년 10월 24일,12.7,12.16,12.94,12,13.03M,4.46%
2020년 10월 23일,12.16,11.96,12.26,11.6,14.96M,1.68%
2020년 10월 22일,11.96,10.81,12.39,10.72,19.17M,10.59%
2020년 10월 21일,10.81,9.86,11.11,9.8,15.87M,9.70%
2020년 10월 20일,9.86,10.91,10.93,9.78,13.09M,-9.69%
2020년 10월 19일,10.91,10.95,11.2,10.66,8.54M,-0.31%
2020년 10월 18일,10.95,10.63,10.98,10.6,6.84M,3.04%
2020년 10월 17일,10.62,10.59,10.7,10.43,6.66M,0.36%
2020년 10월 16일,10.59,10.75,10.88,10.29,12.29M,-1.50%
2020년 10월 15일,10.75,10.89,10.9,10.48,12.71M,-1.34%
2020년 10월 14일,10.89,11,11.32,10.63,14.72M,-0.95%
2020년 10월 13일,11,11.42,11.55,10.66,16.59M,-3.75%
2020년 10월 12일,11.42,10.85,11.79,10.7,21.41M,5.31%
2020년 10월 11일,10.85,10.52,11,10.17,13.30M,3.13%
2020년 10월 10일,10.52,10.39,10.88,10.39,14.78M,1.15%
2020년 10월 09일,10.4,9.55,10.51,9.38,19.49M,8.97%
2020년 10월 08일,9.54,8.98,9.67,8.45,17.85M,6.22%
2020년 10월 07일,8.98,8.77,9,8.39,12.66M,2.44%
2020년 10월 06일,8.77,9.62,9.65,8.64,12.22M,-8.80%
2020년 10월 05일,9.62,9.39,9.7,9.27,12.33M,2.33%
2020년 10월 04일,9.4,9.27,9.46,9.13,7.28M,1.36%
2020년 10월 03일,9.27,9.22,9.54,9.11,7.58M,0.58%
2020년 10월 02일,9.22,9.65,9.82,8.83,19.52M,-4.51%
2020년 10월 01일,9.65,9.87,10.39,9.39,15.36M,-2.23%
2020년 09월 30일,9.87,10.14,10.19,9.6,14.14M,-2.60%
2020년 09월 29일,10.14,10.28,10.38,9.47,22.83M,-1.44%
2020년 09월 28일,10.28,10.79,11.06,10.2,16.95M,-4.73%
2020년 09월 27일,10.79,10.3,10.98,9.95,16.61M,4.78%
2020년 09월 26일,10.3,10.71,11.07,10,19.71M,-3.80%
2020년 09월 25일,10.71,9.87,11.19,9.39,32.34M,8.52%
2020년 09월 24일,9.87,7.61,10.42,7.49,41.86M,29.61%
2020년 09월 23일,7.61,8.74,8.8,7.36,27.15M,-12.89%
2020년 09월 22일,8.74,8.72,9.07,8.6,14.76M,0.37%
2020년 09월 21일,8.71,9.74,9.91,8.52,25.86M,-10.58%
2020년 09월 20일,9.74,10.12,10.61,9.54,11.55M,-3.81%
2020년 09월 19일,10.12,10.09,10.49,9.88,10.17M,0.27%
2020년 09월 18일,10.1,11,11.12,9.81,16.22M,-8.14%
2020년 09월 17일,10.99,10.73,11.64,10.5,17.60M,2.46%
2020년 09월 16일,10.73,10.95,11.28,10.5,17.25M,-2.03%
2020년 09월 15일,10.95,12.13,12.23,10.78,18.61M,-9.76%
2020년 09월 14일,12.13,12.06,12.36,11.64,15.72M,0.66%
2020년 09월 13일,12.06,12.72,13.22,11.79,18.07M,-5.20%
2020년 09월 12일,12.72,12.44,12.73,12.11,11.06M,2.21%
2020년 09월 11일,12.44,12.52,12.68,12.03,13.03M,-0.65%
2020년 09월 10일,12.52,12.34,13.26,12.25,23.18M,1.47%
2020년 09월 09일,12.34,11.71,12.65,11.45,18.03M,5.41%
2020년 09월 08일,11.71,12.47,12.73,11.12,257.72K,-6.10%
2020년 09월 07일,12.47,12.81,13.16,11.22,31.03M,-2.71%
2020년 09월 06일,12.81,10.6,13.18,9.76,33.02M,20.95%
2020년 09월 05일,10.6,12.38,12.73,9.19,37.27M,-14.45%
2020년 09월 04일,12.38,11.88,12.88,11.01,29.50M,4.21%
2020년 09월 03일,11.88,14.8,15,11.2,26.67M,-19.69%
2020년 09월 02일,14.8,16.07,16.35,14.09,17.24M,-7.85%
2020년 09월 01일,16.06,15.59,16.49,15.16,16.56M,2.99%
2020년 08월 31일,15.59,16.47,16.94,15.53,16.01M,-5.34%
2020년 08월 30일,16.47,16.42,17.75,16.4,19.91M,0.30%
2020년 08월 29일,16.42,15.14,16.97,14.97,20.08M,8.44%
2020년 08월 28일,15.14,14.52,15.48,14.26,11.92M,4.31%
2020년 08월 27일,14.52,15.19,15.5,14.02,17.56M,-4.42%
2020년 08월 26일,15.19,14.12,15.64,14.09,18.03M,7.59%
2020년 08월 25일,14.12,15.14,15.35,13.51,19.89M,-6.73%
2020년 08월 24일,15.14,15.15,15.87,14.73,14.00M,-0.13%
2020년 08월 23일,15.15,15.87,15.98,14.68,17.00M,-4.52%
2020년 08월 22일,15.87,13.81,16.3,13.69,26.86M,14.93%
2020년 08월 21일,13.81,16.05,16.12,12.92,40.61M,-13.93%
2020년 08월 20일,16.05,16.18,16.77,15.78,16.66M,-0.86%
2020년 08월 19일,16.18,16.2,17.23,14.91,29.68M,-0.12%
2020년 08월 18일,16.2,16.68,17.64,14.86,42.86M,-2.84%
2020년 08월 17일,16.68,18.81,19.67,16.15,20.61M,-11.33%
2020년 08월 16일,18.81,19.17,20.01,18.58,16.70M,-1.89%
2020년 08월 15일,19.17,16.94,19.79,16.56,28.43M,13.16%
2020년 08월 14일,16.94,17.17,17.57,16.36,17.61M,-1.31%
2020년 08월 13일,17.17,16.51,18.29,16.02,46.71M,4.00%
2020년 08월 12일,16.51,12.98,16.72,12.61,35.47M,27.15%
2020년 08월 11일,12.98,13.47,13.51,12.18,24.89M,-3.60%
2020년 08월 10일,13.47,13.82,14.03,12.66,25.29M,-2.56%
2020년 08월 09일,13.82,12.72,14.41,12.02,38.92M,8.63%
2020년 08월 08일,12.72,10.13,13.78,9.94,38.35M,25.63%
2020년 08월 07일,10.13,10.2,10.25,9.26,15.76M,-0.71%
2020년 08월 06일,10.2,9.53,10.24,9.46,12.93M,7.06%
2020년 08월 05일,9.53,9.86,9.86,9.36,13.09M,-3.39%
2020년 08월 04일,9.86,9.18,9.96,9.09,24.64M,7.44%
2020년 08월 03일,9.18,8.28,9.27,8.18,17.06M,10.84%
2020년 08월 02일,8.28,8.32,8.78,6.96,30.73M,-0.52%
2020년 08월 01일,8.32,7.8,8.46,7.65,12.53M,6.72%
2020년 07월 31일,7.8,7.41,7.85,7.41,10.58M,5.29%
2020년 07월 30일,7.41,7.07,7.57,7.03,10.42M,4.71%
2020년 07월 29일,7.07,7.08,7.08,7.07,9.55M,-2.15%
