날짜,시가*,고가,저가,종가**,거래량,시가총액
11-Feb-21,?18.43,?19.70,?17.83,?19.60,"?5,462,631,343","?10,928,194,686"
10-Feb-21,?18.16,?19.09,?17.22,?18.42,"?6,283,959,281","?10,273,330,053"
09-Feb-21,?16.86,?18.26,?16.38,?18.06,"?3,179,830,319","?10,068,732,379"
08-Feb-21,?16.46,?16.92,?16.11,?16.76,"?2,502,416,816","?9,345,211,232"
07-Feb-21,?17.35,?17.35,?15.85,?16.46,"?2,892,443,958","?9,174,945,052"
06-Feb-21,?16.55,?17.75,?15.95,?17.45,"?5,079,113,726","?9,729,717,844"
05-Feb-21,?15.92,?16.75,?15.46,?16.65,"?2,859,511,178","?9,285,039,961"
04-Feb-21,?16.21,?16.69,?14.85,?15.92,"?2,823,943,270","?8,876,542,330"
03-Feb-21,?15.10,?16.67,?14.89,?16.21,"?4,233,890,510","?9,040,634,476"
02-Feb-21,?14.66,?15.26,?14.39,?15.20,"?1,228,125,825","?8,476,973,175"
01-Feb-21,?14.55,?14.67,?14.15,?14.66,"?1,394,826,964","?8,174,914,821"
31-Jan-21,?14.95,?14.95,?14.26,?14.46,"?1,266,262,513","?8,061,104,049"
30-Jan-21,?15.44,?15.54,?14.65,?14.95,"?1,341,356,652","?8,335,947,295"
29-Jan-21,?15.26,?16.13,?14.56,?15.44,"?6,495,770,664","?8,611,096,629"
28-Jan-21,?14.28,?15.12,?13.82,?14.82,"?2,711,674,321","?8,261,854,668"
27-Jan-21,?14.97,?14.97,?13.97,?14.28,"?946,574,401","?7,960,258,394"
26-Jan-21,?15.26,?15.28,?14.50,?14.97,"?1,046,704,930","?8,345,670,638"
25-Jan-21,?15.32,?15.58,?15.12,?15.26,"?1,313,746,494","?8,509,621,036"
24-Jan-21,?15.22,?15.32,?14.82,?15.32,"?1,240,191,745","?8,543,719,915"
23-Jan-21,?15.83,?15.83,?14.52,?15.22,"?1,863,555,536","?8,487,715,880"
22-Jan-21,?15.60,?15.96,?13.65,?15.93,"?4,722,083,778","?8,881,509,118"
21-Jan-21,?16.96,?21.80,?15.00,?15.60,"?26,050,099,086","?8,700,451,646"
20-Jan-21,?16.38,?17.52,?15.40,?17.06,"?5,507,831,478","?9,512,997,359"
19-Jan-21,?16.86,?16.86,?16.06,?16.38,"?1,894,333,621","?9,135,356,911"
18-Jan-21,?16.65,?16.96,?15.82,?16.86,"?1,588,574,186","?9,398,236,270"
17-Jan-21,?17.36,?17.36,?15.54,?16.76,"?3,399,976,054","?9,342,611,290"
16-Jan-21,?16.05,?20.59,?15.65,?17.16,"?29,291,660,044","?9,567,201,110"
15-Jan-21,?16.27,?17.84,?15.02,?16.05,"?7,896,080,807","?8,948,968,807"
14-Jan-21,?14.92,?17.36,?14.82,?16.37,"?8,903,374,678","?608,943,112"
13-Jan-21,?14.48,?15.02,?13.95,?14.92,"?386,999,409","?554,832,087"
12-Jan-21,?14.42,?14.81,?13.47,?14.56,"?680,504,448","?541,514,708"
11-Jan-21,?15.81,?15.81,?13.71,?14.32,"?1,413,507,332","?532,475,208"
10-Jan-21,?17.02,?17.23,?14.79,?15.81,"?2,657,045,130","?587,893,121"
09-Jan-21,?15.70,?17.24,?14.99,?16.92,"?3,069,774,135","?629,311,785"
08-Jan-21,?14.98,?15.81,?14.25,?15.60,"?1,871,710,207","?580,214,610"
07-Jan-21,?14.86,?15.80,?14.23,?14.98,"?1,869,610,248","?556,932,046"
06-Jan-21,?14.66,?15.06,?14.17,?14.86,"?853,308,288","?552,433,658"
05-Jan-21,?14.67,?14.77,?13.84,?14.66,"?817,294,865","?545,084,330"
04-Jan-21,?15.48,?15.55,?13.50,?14.67,"?1,540,219,016","?545,419,791"
03-Jan-21,?15.91,?16.42,?14.78,?15.38,"?2,057,420,494","?571,807,597"
02-Jan-21,?16.01,?17.55,?15.50,?16.22,"?3,586,410,427","?603,218,356"
01-Jan-21,?15.40,?16.12,?15.09,?15.91,"?1,979,253,734","?591,744,586"
31-Dec-20,?14.94,?15.48,?14.46,?15.19,"?1,208,159,924","?564,952,674"
30-Dec-20,?15.41,?15.52,?14.37,?14.84,"?803,606,497","?551,861,483"
