날짜,시가*,고가,저가,종가**,거래량,시가총액
18-Jun-20,?14.54,?15.18,?14.36,?14.50,"?1,257,524,477","?539,174,490"
17-Jun-20,?14.83,?14.88,?14.16,?14.54,"?1,266,984,375","?540,609,899"
16-Jun-20,?15.21,?15.39,?14.59,?14.83,"?1,030,816,284","?551,549,842"
15-Jun-20,?15.75,?16.29,?13.58,?15.21,"?3,201,621,629","?565,534,290"
14-Jun-20,?15.00,?18.06,?15.00,?15.75,"?6,891,017,946","?585,557,999"
13-Jun-20,?14.30,?15.36,?14.08,?15.00,"?943,247,413","?557,779,914"
12-Jun-20,?13.63,?14.60,?13.51,?14.30,"?925,308,801","?531,896,021"
11-Jun-20,?15.32,?15.54,?13.67,?13.67,"?1,164,307,241","?508,432,751"
10-Jun-20,?15.53,?15.74,?15.14,?15.32,"?1,045,313,767","?569,802,287"
09-Jun-20,?16.26,?16.26,?15.20,?15.59,"?1,043,380,947","?579,577,718"
08-Jun-20,?15.96,?16.52,?15.93,?16.26,"?977,762,392","?604,529,820"
07-Jun-20,?16.37,?16.79,?15.54,?15.96,"?1,916,519,039","?593,529,132"
06-Jun-20,?16.73,?16.73,?16.16,?16.37,"?1,106,242,769","?608,657,797"
05-Jun-20,?16.20,?16.93,?15.90,?16.73,"?2,329,872,217","?622,158,302"
04-Jun-20,?17.41,?17.42,?15.72,?16.20,"?5,000,814,712","?602,358,829"
03-Jun-20,?19.92,?21.96,?16.85,?17.41,"?11,759,928,838","?647,504,228"
02-Jun-20,?13.30,?26.64,?12.61,?19.92,"?11,547,045,713","?740,616,343"
01-Jun-20,?12.49,?13.39,?12.33,?13.30,"?213,492,640","?494,732,182"
31-May-20,?12.31,?12.76,?12.22,?12.49,"?154,368,087","?464,572,088"
30-May-20,?12.31,?12.58,?12.13,?12.31,"?149,310,128","?457,789,944"
29-May-20,?12.39,?12.43,?12.00,?12.31,"?330,838,582","?457,792,365"
28-May-20,?12.70,?12.80,?11.98,?12.45,"?480,312,532","?463,019,765"
27-May-20,?12.76,?14.09,?12.43,?12.70,"?1,408,311,685","?472,257,378"
26-May-20,?12.57,?12.99,?12.12,?12.76,"?281,025,897","?474,639,384"
25-May-20,?11.64,?12.75,?11.59,?12.57,"?606,621,036","?467,524,954"
24-May-20,?11.77,?12.06,?11.50,?11.64,"?352,191,751","?432,749,732"
23-May-20,?11.80,?12.09,?11.64,?11.94,"?136,200,293","?443,849,670"
22-May-20,?11.62,?11.83,?11.33,?11.80,"?410,520,189","?438,733,241"
21-May-20,?11.88,?12.31,?11.14,?11.62,"?740,677,471","?432,290,139"
20-May-20,?12.31,?12.32,?11.58,?11.88,"?503,196,415","?441,804,484"
19-May-20,?12.28,?12.53,?11.88,?12.31,"?506,533,698","?457,731,119"
18-May-20,?11.47,?12.67,?11.47,?12.28,"?1,144,593,935","?456,648,236"
17-May-20,?11.51,?11.61,?11.42,?11.47,"?183,270,511","?426,476,576"
16-May-20,?11.50,?11.60,?11.33,?11.51,"?27,350,611","?427,879,933"
15-May-20,?11.92,?11.97,?11.45,?11.50,"?59,938,254","?427,616,510"
14-May-20,?11.95,?12.01,?11.54,?11.92,"?67,956,867","?443,314,451"
13-May-20,?11.58,?11.96,?11.28,?11.95,"?82,004,790","?444,488,573"
12-May-20,?11.21,?11.68,?11.08,?11.58,"?118,523,798","?430,783,282"
11-May-20,?11.54,?12.01,?10.80,?11.21,"?299,180,526","?416,860,754"
10-May-20,?13.09,?13.21,?11.33,?11.54,"?547,030,789","?429,326,734"
09-May-20,?13.34,?14.10,?13.00,?13.09,"?1,380,557,096","?486,686,688"
08-May-20,?13.09,?13.69,?13.01,?13.31,"?1,079,682,592","?495,052,910"
07-May-20,?13.16,?13.62,?12.91,?13.09,"?1,201,706,341","?486,734,284"
06-May-20,?12.77,?13.46,?12.74,?13.16,"?1,262,363,703","?489,207,068"
05-May-20,?12.84,?12.94,?12.58,?12.77,"?446,817,427","?474,859,343"
04-May-20,?13.13,?13.19,?12.40,?12.84,"?650,820,280","?477,661,730"
03-May-20,?13.01,?13.19,?12.83,?13.13,"?424,380,937","?488,156,904"
02-May-20,?13.21,?13.29,?12.94,?13.10,"?146,337,716","?487,096,589"
01-May-20,?12.93,?13.33,?12.81,?13.21,"?319,739,454","?491,073,141"
30-Apr-20,?12.94,?13.64,?12.65,?12.93,"?1,094,649,254","?480,893,778"
29-Apr-20,?12.84,?13.07,?12.68,?12.94,"?279,714,015","?481,221,716"
28-Apr-20,?13.15,?13.15,?12.66,?12.78,"?306,948,666","?475,164,639"
27-Apr-20,?13.40,?13.64,?12.92,?13.00,"?639,944,165","?483,304,702"
26-Apr-20,?13.22,?13.95,?13.13,?13.40,"?1,294,995,795","?498,442,367"
25-Apr-20,?13.45,?13.52,?13.05,?13.22,"?280,477,709","?491,772,110"
24-Apr-20,?13.01,?13.50,?12.93,?13.38,"?1,228,906,662","?497,431,212"
23-Apr-20,?13.21,?13.40,?12.88,?13.02,"?1,419,149,565","?484,216,303"
22-Apr-20,?13.94,?14.28,?12.76,?13.21,"?2,297,380,531","?491,347,935"
21-Apr-20,?19.50,?24.65,?13.79,?13.87,"?17,571,538,858","?515,870,995"
20-Apr-20,?20.45,?20.45,?19.10,?19.50,"?158,433,934","?725,057,615"
19-Apr-20,?20.05,?21.03,?18.98,?20.45,"?139,257,972","?760,528,575"
18-Apr-20,?19.57,?20.35,?18.68,?20.06,"?256,326,767","?746,095,850"
17-Apr-20,?19.61,?24.59,?18.85,?19.57,"?1,645,973,622","?727,612,788"
16-Apr-20,?16.93,?19.88,?16.03,?19.61,"?652,395,812","?729,228,157"
15-Apr-20,?16.77,?18.10,?16.77,?17.00,"?543,808,551","?632,201,590"
14-Apr-20,?17.47,?18.87,?16.65,?16.74,"?951,431,204","?622,508,498"
13-Apr-20,?20.40,?20.48,?16.72,?17.47,"?777,209,900","?649,783,770"
12-Apr-20,?19.63,?20.58,?19.07,?20.41,"?89,863,756","?759,074,691"
11-Apr-20,?19.34,?20.89,?19.02,?19.63,"?104,080,086","?729,839,797"
10-Apr-20,?20.13,?21.25,?19.06,?19.34,"?378,149,538","?719,097,206"
09-Apr-20,?20.13,?21.40,?19.66,?20.13,"?330,522,274","?748,715,857"
08-Apr-20,?21.60,?21.60,?19.59,?20.13,"?583,899,867","?748,561,508"
07-Apr-20,?23.37,?24.03,?21.46,?21.50,"?386,132,441","?799,456,927"
06-Apr-20,?21.91,?23.42,?20.99,?23.33,"?491,636,095","?867,658,681"
05-Apr-20,?23.57,?23.83,?19.68,?21.85,"?529,829,523","?812,590,025"
04-Apr-20,?23.45,?25.44,?23.30,?23.56,"?300,988,939","?876,296,351"
03-Apr-20,?23.92,?24.80,?22.99,?23.45,"?384,117,238","?872,166,689"
02-Apr-20,?25.42,?26.15,?23.49,?23.96,"?539,339,709","?890,883,387"
01-Apr-20,?24.97,?25.61,?22.16,?25.43,"?156,482,642","?945,858,353"
31-Mar-20,?26.98,?27.81,?22.28,?24.97,"?718,252,480","?928,592,473"
30-Mar-20,?22.42,?28.30,?22.01,?27.06,"?861,816,135","?1,006,257,688"
29-Mar-20,?20.93,?23.65,?20.81,?22.44,"?394,741,884","?834,429,157"
28-Mar-20,?20.90,?21.24,?20.46,?20.94,"?331,674,368","?778,851,693"
27-Mar-20,?21.31,?22.34,?20.65,?21.05,"?582,302,444","?782,730,371"
26-Mar-20,?20.68,?24.21,?19.84,?21.29,"?581,288,199","?791,625,450"
25-Mar-20,?16.99,?21.85,?16.35,?20.68,"?693,843,483","?768,920,658"
24-Mar-20,?12.32,?17.72,?12.02,?17.13,"?596,732,326","?637,075,505"
23-Mar-20,?11.52,?12.91,?11.42,?12.32,"?219,344,718","?458,058,450"
22-Mar-20,?11.42,?11.78,?11.25,?11.52,"?120,420,190","?428,500,289"
21-Mar-20,?11.90,?12.43,?10.96,?11.39,"?168,427,840","?423,483,703"
20-Mar-20,?12.16,?13.15,?11.11,?11.90,"?228,941,893","?442,417,469"
19-Mar-20,?10.97,?12.89,?10.89,?12.17,"?201,724,766","?452,560,066"
18-Mar-20,?12.38,?12.50,?10.53,?10.97,"?224,552,126","?407,903,171"
17-Mar-20,?12.15,?13.33,?11.59,?12.40,"?207,001,374","?461,281,434"
16-Mar-20,?13.14,?13.17,?11.05,?12.15,"?274,987,449","?451,697,630"
15-Mar-20,?13.48,?14.40,?12.70,?13.14,"?259,207,686","?488,551,662"
14-Mar-20,?13.78,?16.82,?12.31,?13.48,"?608,832,594","?501,154,635"
13-Mar-20,?15.15,?15.76,?9.52,?13.71,"?829,723,843","?509,972,584"
12-Mar-20,?28.32,?64.03,?14.32,?15.16,"?4,871,852,767","?563,732,303"
11-Mar-20,?27.33,?28.94,?26.87,?28.34,"?822,470,277","?1,053,801,329"
10-Mar-20,?25.80,?27.44,?25.73,?27.36,"?310,650,516","?1,017,446,521"
09-Mar-20,?24.99,?26.23,?24.48,?25.83,"?329,635,072","?960,482,590"
08-Mar-20,?26.28,?38.26,?24.78,?25.09,"?672,318,708","?933,038,563"
07-Mar-20,?26.15,?26.85,?25.96,?26.28,"?364,104,747","?977,427,346"
06-Mar-20,?25.22,?27.15,?24.56,?26.31,"?632,049,419","?978,367,089"
05-Mar-20,?22.93,?25.44,?22.88,?25.22,"?151,688,319","?937,824,685"
04-Mar-20,?21.79,?23.53,?21.03,?22.93,"?95,297,325","?852,892,877"
03-Mar-20,?22.03,?23.39,?20.42,?21.70,"?387,599,250","?807,025,861"
02-Mar-20,?23.58,?24.60,?21.41,?22.03,"?295,654,045","?819,261,600"
01-Mar-20,?23.39,?24.86,?23.29,?23.49,"?306,100,560","?873,545,806"
29-Feb-20,?23.00,?24.88,?22.57,?23.39,"?393,918,940","?869,713,267"
28-Feb-20,?23.67,?24.83,?22.70,?23.00,"?59,613,324","?855,139,455"
27-Feb-20,?21.14,?23.81,?20.40,?23.67,"?252,095,268","?880,333,240"
26-Feb-20,?24.32,?24.47,?21.14,?21.14,"?248,597,254","?786,202,247"
25-Feb-20,?21.98,?25.78,?21.93,?24.32,"?371,411,124","?904,556,512"
24-Feb-20,?20.32,?23.71,?20.12,?21.98,"?62,542,022","?817,284,349"
23-Feb-20,?19.75,?21.87,?19.30,?20.32,"?51,924,317","?755,811,328"
22-Feb-20,?18.34,?20.69,?18.34,?19.75,"?41,502,555","?734,385,653"
21-Feb-20,?17.21,?18.37,?17.12,?18.34,"?17,031,533","?682,158,660"
20-Feb-20,?16.82,?17.74,?16.81,?17.21,"?237,027,850","?639,937,349"
19-Feb-20,?16.67,?18.46,?16.55,?16.82,"?151,808,011","?625,653,931"
18-Feb-20,?16.59,?18.56,?16.23,?16.68,"?75,304,643","?620,171,395"
17-Feb-20,?17.32,?17.46,?15.13,?16.59,"?94,547,399","?616,821,858"
16-Feb-20,?17.44,?17.72,?17.11,?17.31,"?3,694,891","?643,838,930"
15-Feb-20,?19.40,?20.32,?17.13,?17.44,"?334,931,717","?648,495,718"
14-Feb-20,?18.36,?19.41,?18.18,?19.40,"?39,643,129","?721,409,906"
13-Feb-20,?18.19,?19.14,?17.88,?18.36,"?279,158,280","?682,931,007"
12-Feb-20,?16.45,?19.24,?16.37,?18.19,"?279,222,759","?676,265,587"
11-Feb-20,?16.68,?16.91,?15.77,?16.46,"?69,093,901","?664,280,969"
10-Feb-20,?16.79,?17.09,?15.69,?16.68,"?26,711,277","?673,333,638"
09-Feb-20,?17.48,?18.07,?16.36,?16.79,"?50,842,694","?677,956,340"
08-Feb-20,?17.77,?18.04,?17.39,?17.48,"?60,683,868","?705,855,186"
07-Feb-20,?17.67,?18.23,?17.67,?17.86,"?143,803,339","?721,128,009"
06-Feb-20,?18.07,?18.28,?17.43,?17.67,"?117,469,904","?713,448,113"
05-Feb-20,?17.69,?18.12,?17.40,?18.07,"?288,747,887","?729,386,794"
04-Feb-20,?17.79,?18.44,?15.89,?17.60,"?140,568,145","?710,661,476"
03-Feb-20,?18.07,?18.08,?17.33,?17.79,"?318,775,399","?718,159,012"
02-Feb-20,?18.30,?18.39,?17.89,?18.07,"?342,225,390","?729,486,482"
01-Feb-20,?18.19,?18.49,?18.10,?18.30,"?371,630,348","?738,634,110"
31-Jan-20,?18.24,?18.47,?18.13,?18.19,"?357,259,467","?734,464,518"
30-Jan-20,?18.25,?18.49,?18.09,?18.32,"?367,504,390","?739,382,954"
29-Jan-20,?19.29,?19.47,?18.13,?18.25,"?383,867,287","?736,770,512"
28-Jan-20,?19.38,?19.50,?18.75,?19.32,"?285,217,936","?779,931,990"
27-Jan-20,?19.58,?19.76,?19.01,?19.38,"?406,443,957","?782,235,790"
26-Jan-20,?19.51,?19.83,?19.25,?19.59,"?422,987,311","?791,016,151"
25-Jan-20,?19.80,?19.94,?19.19,?19.35,"?393,222,751","?781,140,353"
24-Jan-20,?19.84,?20.18,?19.79,?19.95,"?319,756,269","?805,288,306"
23-Jan-20,?20.50,?20.53,?19.78,?19.84,"?426,131,011","?800,936,883"
22-Jan-20,?20.50,?21.46,?20.14,?20.50,"?362,198,391","?827,526,954"
21-Jan-20,?20.37,?21.47,?20.01,?20.50,"?363,705,419","?827,653,563"
20-Jan-20,?19.79,?20.42,?19.77,?20.38,"?393,139,015","?822,665,880"
19-Jan-20,?20.25,?20.44,?19.67,?19.79,"?423,636,616","?798,872,443"
18-Jan-20,?20.84,?20.94,?20.25,?20.25,"?197,506,991","?817,422,961"
17-Jan-20,?20.78,?21.09,?20.59,?20.84,"?264,704,700","?841,213,485"
16-Jan-20,?20.81,?20.96,?19.31,?20.77,"?317,538,324","?838,675,785"
15-Jan-20,?20.85,?21.01,?20.66,?20.91,"?327,968,939","?844,203,355"
14-Jan-20,?20.85,?22.31,?19.31,?20.77,"?375,574,045","?838,309,349"
13-Jan-20,?21.61,?22.00,?20.85,?20.85,"?282,399,278","?841,606,598"
12-Jan-20,?21.32,?21.79,?21.30,?21.60,"?175,919,998","?872,013,677"
11-Jan-20,?21.56,?21.80,?21.31,?21.32,"?201,306,238","?860,639,167"
10-Jan-20,?21.83,?21.89,?21.17,?21.56,"?292,672,705","?870,480,596"
09-Jan-20,?23.10,?23.11,?21.63,?21.83,"?338,865,417","?881,415,055"
08-Jan-20,?21.39,?23.68,?20.98,?23.11,"?309,064,336","?932,740,041"
07-Jan-20,?21.88,?22.78,?21.27,?21.39,"?415,993,850","?863,331,529"
06-Jan-20,?21.89,?22.54,?21.76,?21.88,"?339,053,762","?883,124,047"
05-Jan-20,?21.41,?23.04,?21.32,?21.89,"?325,185,574","?883,610,044"
04-Jan-20,?21.25,?21.83,?21.03,?21.41,"?240,249,390","?864,482,960"
03-Jan-20,?19.90,?23.23,?19.78,?21.25,"?404,951,487","?857,971,002"
02-Jan-20,?19.40,?21.09,?19.23,?19.90,"?349,553,890","?803,217,823"
01-Jan-20,?18.62,?19.87,?18.53,?19.40,"?193,169,437","?783,194,395"
